short name,rmse_list,rmse_qsar_list,mse_list,mse_qsar_list,mae_list,mae_qsar_list,pearsonr2_list,pearsonr2_qsar_list,r2_score_list,r2_score_qsar_list
"CL microsome, human",0.6272256295572451,0.6253073353953403,0.39341199037348257,0.3910092636992207,0.4707339257856005,0.4675342261078224,0.6030057,0.6053203,0.6017319959234608,0.604164380244008
"CL microsome, mouse",0.6701145629497647,0.6650164549108616,0.44905352747735416,0.44224688530221007,0.5181376654072665,0.5137749031127896,0.58583015,0.5919593,0.57406814457361,0.5805243141691797
"CL microsome, rat",0.6175058644912421,0.6142275268760994,0.3813134926810763,0.37727545477232943,0.47053679100907253,0.46676215622187117,0.57869476,0.58300865,0.5744355985909888,0.5789422452701296
"CL total, dog",0.8584159239413399,0.8808587753536893,0.7368778984760642,0.7759121821176012,0.6328965265129227,0.6596096948851482,0.34813774,0.31551176,0.28154857500451846,0.2434903882086623
"CL total, human",0.768056315175582,0.8693165600517555,0.5899105032810931,0.7557112815802174,0.5707915153820068,0.620269138153526,0.53752154,0.41075122,0.5356169009163946,0.40509696809815676
"CL total, monkey",0.6590150710151774,0.7273339262023978,0.43430086382513927,0.529014640204995,0.5101376904005354,0.566892221570015,0.48067564,0.35053924,0.46221551990989584,0.34493369242470096
"CL total, rat",0.7081921974819223,0.7463808715893083,0.5015361885742741,0.5570844054744155,0.5429597295048397,0.5839592901217502,0.47053105,0.4106202,0.4572440508077704,0.39713049195316896
CYP2C8,0.818356782899469,0.8205904562823302,0.6697078241175686,0.6733686969416429,0.6490721871413178,0.650685621122124,0.45817485,0.45512876,0.4573761679849865,0.4544099836747818
CYP2C9,0.7630462662131722,0.779715097200032,0.5822396043818633,0.6079556328016552,0.5580463660399376,0.5691425778619104,0.41781768,0.39591745,0.40406610574976465,0.37774523570670704
CYP2D6,0.7029894136075009,0.7145693336623667,0.4941941156442179,0.5106093326106789,0.5280474384853582,0.5360656100530525,0.53620994,0.52027327,0.5309428649859794,0.5153626012855818
CYP3A4,0.6287515753124465,0.6378233660902023,0.39532854345788304,0.4068186463306362,0.4586711864079521,0.4647381815451617,0.59660655,0.58602065,0.5861405959313422,0.5741118992781449
"Fu,p, dog",0.5381304526540726,0.5763447425295148,0.28958438407367704,0.3321732622414128,0.3875108717009425,0.3553182556061074,0.7642827,0.7541211,0.7610333658090443,0.7258887881679961
"Fu,p, human",0.5103932781113578,0.5109236560689508,0.2605012983412578,0.2610429823308636,0.3731109615571914,0.37387225886679626,0.74972427,0.7482355,0.7459484180398909,0.7454201455308551
"Fu,p, monkey",0.4138817592043285,0.44403953586608297,0.1712981106020698,0.19717110941216637,0.3060822730263074,0.3143060932556788,0.8327307,0.7870765,0.8090250820510566,0.7801800830753843
"Fu,p, rat",0.617308702303557,0.6884767446264645,0.3810700339397017,0.4740002278914539,0.4129469400102442,0.43402049033479256,0.773117,0.71761805,0.7725800861000417,0.7171200004860727
Papp,0.5380830703540372,0.5371853983560555,0.2895333906016278,0.2885681522069541,0.39027990684043373,0.3894824061133885,0.69114417,0.69217026,0.6899108078939311,0.6909445746500631
"PGP, human",0.6744991644518424,0.6737119739538623,0.4549491228462336,0.45388782384880955,0.4698860452793922,0.46906636184506006,0.4986963,0.4997683,0.48723511959889154,0.48843129039284616
hERG,0.5563112192959555,0.55650992624062,0.30948217271455264,0.30970329800434027,0.40602175721445255,0.4066984631113034,0.6561195,0.6558902,0.6548106662970627,0.6545640282087453
LogD pH7.4,0.4247974084673285,0.42228467103508927,0.18045283824055836,0.17832434339121356,0.31163214155501995,0.3090852920230671,0.82919323,0.8311378,0.8281882186353638,0.8302147896511318
Kinetic aqueous logS,0.47066400840891737,0.4707128943185162,0.22152460881154942,0.22157062887771461,0.29309195382380043,0.29308669357276756,0.775365,0.7753213,0.7738190816836976,0.7737720943043628
Thermo aqueous logS,0.35035493592232864,0.35032724929014514,0.122748581125139,0.12272918159519951,0.23457902585489893,0.23452901323360525,0.8788195,0.8788272,0.8783415801006818,0.8783608073384844
"Vd, dog",0.7489165533366118,0.7687788970387179,0.5608760038615901,0.5910209925320676,0.4988375548273325,0.5362408880454799,0.2780768,0.2594962,0.17169045943134065,0.12717191782111248
"Vd, human",0.6646549755955486,0.7381937335770916,0.4417662365839194,0.5449299882924862,0.43956514471064106,0.5052083714750929,0.5868208,0.48603922,0.5647117059827677,0.4630607200837833
"Vd, monkey",0.7147446540937222,0.7662769040138596,0.5108599205555546,0.5871802936250657,0.41585863940417767,0.4459953388820092,0.46032724,0.39523232,0.4006870187675202,0.3111521218757808
"Vd, rat",0.5924077401977317,0.6865134414383931,0.3509469306461831,0.47130070527558593,0.46196560135909487,0.5207317334376034,0.603539,0.4527808,0.5651820015623088,0.4160654747631676
